"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T23","rho.plug",0.625,80,20,0.5,200,NA,FALSE,FALSE,1
"T23","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T31","rho.sharp",0,80,20,0.5,200,NA,FALSE,FALSE,1
"T31","rho.oracle",0.16,80,20,0.5,200,NA,FALSE,FALSE,1
"T31","rho.plug",0.21,80,20,0.5,200,NA,FALSE,FALSE,1
"T31","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T32","rho.sharp",0.005,80,20,0.5,200,NA,FALSE,FALSE,1
"T32","rho.oracle",0.24,80,20,0.5,200,NA,FALSE,FALSE,1
"T32","rho.plug",0.26,80,20,0.5,200,NA,FALSE,FALSE,1
"T32","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T33","rho.sharp",0.105,80,20,0.5,200,NA,FALSE,FALSE,1
"T33","rho.oracle",0.7,80,20,0.5,200,NA,FALSE,FALSE,1
"T33","rho.plug",0.62,80,20,0.5,200,NA,FALSE,FALSE,1
"T33","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T41","rho.sharp",0,80,20,0.5,200,NA,FALSE,FALSE,1
"T41","rho.oracle",0.16,80,20,0.5,200,NA,FALSE,FALSE,1
"T41","rho.plug",0.21,80,20,0.5,200,NA,FALSE,FALSE,1
"T41","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T42","rho.sharp",0.005,80,20,0.5,200,NA,FALSE,FALSE,1
"T42","rho.oracle",0.24,80,20,0.5,200,NA,FALSE,FALSE,1
"T42","rho.plug",0.26,80,20,0.5,200,NA,FALSE,FALSE,1
"T42","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T43","rho.sharp",0.105,80,20,0.5,200,NA,FALSE,FALSE,1
"T43","rho.oracle",0.7,80,20,0.5,200,NA,FALSE,FALSE,1
"T43","rho.plug",0.62,80,20,0.5,200,NA,FALSE,FALSE,1
"T43","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T11","rho.sharp",0.2,20,5,0.5,200,100,TRUE,TRUE,2
"T11","rho.oracle",0.225,20,5,0.5,200,100,TRUE,TRUE,2
"T11","rho.plug",0.2,20,5,0.5,200,100,TRUE,TRUE,2
"T11","rho.adj",0.17,20,5,0.5,200,100,TRUE,TRUE,2
"T12","rho.sharp",0.2,20,5,0.5,200,100,TRUE,TRUE,2
"T12","rho.oracle",0.23,20,5,0.5,200,100,TRUE,TRUE,2
"T12","rho.plug",0.195,20,5,0.5,200,100,TRUE,TRUE,2
"T12","rho.adj",0.14,20,5,0.5,200,100,TRUE,TRUE,2
"T13","rho.sharp",0.58,20,5,0.5,200,100,TRUE,TRUE,2
"T13","rho.oracle",0.55,20,5,0.5,200,100,TRUE,TRUE,2
"T13","rho.plug",0.59,20,5,0.5,200,100,TRUE,TRUE,2
